symbol,GSM6216349_1,GSM6216350_1,GSM6216351_1,GSM6216352_0,GSM6216353_1,GSM6216355_1,GSM6216356_1,GSM6216357_1,GSM6216358_0,GSM6216359_0,GSM6216360_0,GSM6216361_1,GSM6216362_1,GSM6216365_0,GSM6216367_0,GSM6216368_0,GSM6216369_1,GSM6216370_1,GSM6216371_1,GSM6216372_1,GSM6216373_0,GSM6216374_0,GSM6216375_1,GSM6216376_0,GSM6216377_1,GSM6216380_0,GSM6216382_0,GSM6216383_0,GSM6216384_0,GSM6216385_0,GSM6216386_0,GSM6216387_0,GSM6216389_0,GSM6216390_0,GSM6216391_0,GSM6216392_0,GSM6216393_0,GSM6216394_0,GSM6216395_0,GSM6216396_0,GSM6216397_0,GSM6216398_0,GSM6216399_1,GSM6216400_1,GSM6216405_1,GSM6216406_1,GSM6216407_1
TIMP1,765,902,641,667,727,1022,511,643,222,633,1129,1228,1033,486,227,244,599,491,548,658,255,314,448,645,461,213,465,234,97,301,505,23,335,215,220,578,367,335,206,309,706,202,1136,725,746,380,596
PGF,63,68,87,66,133,56,37,67,32,36,120,145,52,44,20,37,59,73,33,64,53,21,57,66,46,34,14,30,6,24,31,6,18,27,4,28,16,38,20,10,19,30,80,69,55,58,39
FGF1,532,395,308,153,468,425,202,170,90,157,24,122,197,228,55,127,301,302,225,275,344,73,95,137,455,136,65,72,30,71,59,20,62,134,90,36,72,92,141,80,66,50,424,163,47,57,285
NGFR,87,61,65,63,89,154,70,155,32,43,121,172,227,60,13,52,168,131,157,146,52,23,106,77,72,16,25,35,6,20,35,5,21,88,54,57,41,30,23,42,114,39,93,54,32,88,55
ANGPT2,222,205,194,168,315,330,137,162,74,180,144,207,180,121,26,83,237,183,143,210,156,42,132,108,130,97,107,63,17,72,63,14,90,144,68,74,48,304,94,62,69,99,239,269,156,169,246
MSC,256,151,118,60,120,143,169,73,24,35,36,71,111,50,11,12,112,98,69,112,13,8,157,43,147,12,23,48,2,8,32,1,29,14,9,21,15,17,17,9,13,6,87,80,42,30,89
HMOX1,570,426,355,285,431,437,334,290,117,164,343,356,238,417,85,63,332,346,186,370,179,67,251,152,304,91,79,1660,45,82,188,37,72,55,49,69,231,60,96,120,344,410,390,232,126,76,171
ABCC2,64,34,16,31,37,28,16,19,26,34,42,57,9,15,7,16,39,37,78,29,22,13,11,29,32,20,10,19,14,9,10,5,8,14,10,9,17,25,11,8,13,15,45,42,35,3,15
CD14,1267,941,769,626,1434,757,697,616,385,663,638,1851,346,743,183,181,523,781,641,892,255,235,498,704,1100,197,410,167,152,268,245,10,219,162,202,174,374,286,125,129,500,263,1051,694,570,148,257
HPD,45,34,74,9,29,52,47,24,8,4,1,19,22,11,5,3,36,21,22,21,17,4,21,9,24,11,4,3,2,2,6,1,3,3,2,10,1,2,3,6,2,1,28,27,11,2,16
CCR1,218,135,151,46,187,142,84,68,19,65,81,149,65,53,9,15,218,122,49,222,26,27,51,78,137,47,92,77,14,49,34,3,16,26,22,24,49,68,35,28,53,29,163,107,100,31,131
FHL2,106,102,82,89,147,220,101,150,96,126,225,229,208,148,23,44,199,101,239,108,110,43,103,105,128,45,82,75,6,42,52,9,205,58,86,50,118,85,32,55,124,26,99,92,129,139,61
IL2RG,21,25,38,15,28,26,8,10,7,11,7,18,15,9,1,8,35,14,19,21,12,6,8,14,29,13,4,11,1,6,25,6,9,14,6,7,6,13,10,9,8,8,33,18,10,14,36
ALDH1A3,344,280,105,186,253,297,196,328,129,277,237,469,183,197,31,89,285,306,260,254,60,36,183,230,177,116,318,279,61,113,145,21,89,77,133,178,224,138,109,119,280,86,376,210,370,101,234
NCEH1,116,101,238,74,119,173,75,40,38,60,60,88,113,52,10,12,486,104,47,279,41,26,39,55,229,79,50,34,13,39,32,8,31,41,39,34,38,74,18,48,31,26,186,101,96,58,373
MMP9,539,417,3591,591,286,717,510,78,80,271,107,132,2250,101,1,53,4470,901,76,900,143,21,194,280,1568,397,262,80,30,24,51,3,8,18,9,5,8,204,186,115,23,10,1274,1099,333,247,4376
